frame_id,row,col,value
ground_01,0,0,#927D58
ground_01,0,1,#5A4529
ground_01,0,2,#4B391B
ground_01,0,3,#564324
ground_01,0,4,#42351D
ground_01,0,5,#18110E
ground_01,0,6,#4E3E2A
ground_01,0,7,#776343
ground_01,0,8,#716347
ground_01,0,9,#3D3324
ground_01,0,10,#292015
ground_01,0,11,#281E16
ground_01,0,12,#5E4C31
ground_01,0,13,#715C39
ground_01,0,14,#65502F
ground_01,0,15,#695638
ground_01,1,0,#8D7955
ground_01,1,1,#604B30
ground_01,1,2,#49381C
ground_01,1,3,#544224
ground_01,1,4,#44361E
ground_01,1,5,#1D1611
ground_01,1,6,#5B4933
ground_01,1,7,#776344
ground_01,1,8,#83755A
ground_01,1,9,#5E5543
ground_01,1,10,#2B2218
ground_01,1,11,#342A20
ground_01,1,12,#79684D
ground_01,1,13,#877555
ground_01,1,14,#776444
ground_01,1,15,#715D3B
ground_01,2,0,#82704F
ground_01,2,1,#6B583E
ground_01,2,2,#45361E
ground_01,2,3,#4F3F23
ground_01,2,4,#483921
ground_01,2,5,#282016
ground_01,2,6,#776145
ground_01,2,7,#796246
ground_01,2,8,#A79C82
ground_01,2,9,#A39C84
ground_01,2,10,#30271D
ground_01,2,11,#4F4535
ground_01,2,12,#B2A688
ground_01,2,13,#B5AB91
ground_01,2,14,#9C8D70
ground_01,2,15,#836B41
ground_01,3,0,#796A4C
ground_01,3,1,#6A5941
ground_01,3,2,#4F402A
ground_01,3,3,#4E3F26
ground_01,3,4,#483921
ground_01,3,5,#362D21
ground_01,3,6,#8A7255
ground_01,3,7,#785E45
ground_01,3,8,#C1B69D
ground_01,3,9,#D1CCB2
ground_01,3,10,#352D23
ground_01,3,11,#645A49
ground_01,3,12,#D8D0B2
ground_01,3,13,#D4CEB5
ground_01,3,14,#BDB296
ground_01,3,15,#A08960
ground_01,4,0,#74674A
ground_01,4,1,#5C4D38
ground_01,4,2,#665740
ground_01,4,3,#50422C
ground_01,4,4,#44351F
ground_01,4,5,#463E31
ground_01,4,6,#927A60
ground_01,4,7,#745640
ground_01,4,8,#CCC2A9
ground_01,4,9,#E5E1C7
ground_01,4,10,#3A332A
ground_01,4,11,#726958
ground_01,4,12,#E8E3C6
ground_01,4,13,#DED9BF
ground_01,4,14,#D6CFB2
ground_01,4,15,#C4B896
ground_01,5,0,#6F6347
ground_01,5,1,#4B3E2D
ground_01,5,2,#695B44
ground_01,5,3,#5B4C37
ground_01,5,4,#4F402A
ground_01,5,5,#5C5241
ground_01,5,6,#947E66
ground_01,5,7,#80634F
ground_01,5,8,#C7BDA3
ground_01,5,9,#E3DDC3
ground_01,5,10,#3D362D
ground_01,5,11,#78705F
ground_01,5,12,#EEEACD
ground_01,5,13,#E2DDC2
ground_01,5,14,#E3DEC1
ground_01,5,15,#DAD4B7
ground_01,6,0,#6A5E43
ground_01,6,1,#382D1F
ground_01,6,2,#584A36
ground_01,6,3,#705F47
ground_01,6,4,#695942
ground_01,6,5,#776951
ground_01,6,6,#8F7D66
ground_01,6,7,#9B8771
ground_01,6,8,#B1A78C
ground_01,6,9,#CAC1A5
ground_01,6,10,#3C352C
ground_01,6,11,#786F5F
ground_01,6,12,#ECE6C9
ground_01,6,13,#E0DABF
ground_01,6,14,#E3DEC2
ground_01,6,15,#E2DEC3
ground_01,7,0,#685B40
ground_01,7,1,#30261A
ground_01,7,2,#473B2A
ground_01,7,3,#685842
ground_01,7,4,#78684F
ground_01,7,5,#8C7C61
ground_01,7,6,#8F806A
ground_01,7,7,#A89A84
ground_01,7,8,#A89C80
