row,col,r,g,b,hex
0,0,149,135,99,#958763
0,1,165,143,105,#A58F69
0,2,165,145,105,#A59169
0,3,95,78,46,#5F4E2E
0,4,71,54,26,#47361A
0,5,75,57,30,#4B391E
0,6,79,63,33,#4F3F21
0,7,80,63,31,#503F1F
0,8,87,68,35,#574423
0,9,77,60,31,#4D3C1F
0,10,74,57,31,#4A391F
0,11,74,57,28,#4A391C
0,12,72,55,27,#48371B
0,13,71,53,28,#47351C
0,14,41,32,19,#292013
0,15,24,19,16,#181310
0,16,27,20,16,#1B1410
0,17,30,23,16,#1E1710
0,18,29,23,17,#1D1711
0,19,28,21,15,#1C150F
0,20,50,39,26,#32271A
0,21,97,80,52,#615034
0,22,123,102,63,#7B663F
0,23,122,102,63,#7A663F
0,24,117,99,64,#756340
0,25,100,84,53,#645435
0,26,70,57,38,#463926
0,27,40,32,21,#282015
0,28,35,28,21,#231C15
0,29,42,33,22,#2A2116
0,30,45,35,23,#2D2317
0,31,47,37,23,#2F2517
0,32,46,38,24,#2E2618
0,33,44,35,25,#2C2319
0,34,44,35,24,#2C2318
0,35,45,35,27,#2D231B
0,36,37,28,22,#251C16
0,37,52,42,29,#342A1D
0,38,112,95,64,#705F40
0,39,141,118,75,#8D764B
0,40,134,112,70,#867046
0,41,130,106,66,#826A42
0,42,107,84,50,#6B5432
0,43,135,111,68,#876F44
0,44,152,127,83,#987F53
0,45,106,88,58,#6A583A
0,46,44,35,24,#2C2318
0,47,33,26,19,#211A13
1,0,142,127,91,#8E7F5B
1,1,146,120,87,#927857
1,2,181,154,112,#B59A70
1,3,152,128,89,#988059
1,4,77,59,34,#4D3B22
1,5,72,55,28,#48371C
1,6,77,61,32,#4D3D20
1,7,81,63,33,#513F21
1,8,86,67,34,#564322
1,9,80,63,32,#503F20
1,10,75,59,33,#4B3B21
1,11,76,60,31,#4C3C1F
1,12,80,64,32,#504020
1,13,81,64,34,#514022
1,14,48,36,21,#302415
1,15,24,21,16,#181510
1,16,26,22,17,#1A1611
1,17,34,25,18,#221912
1,18,41,30,19,#291E13
1,19,70,56,37,#463825
1,20,98,83,56,#625338
1,21,118,100,66,#766442
1,22,96,82,52,#605234
1,23,80,68,45,#50442D
1,24,88,72,42,#58482A
1,25,86,69,39,#564527
1,26,91,74,43,#5B4A2B
1,27,59,47,26,#3B2F1A
1,28,32,24,14,#20180E
1,29,40,33,21,#282115
1,30,43,34,23,#2B2217
1,31,45,36,25,#2D2419
1,32,47,39,27,#2F271B
1,33,43,35,25,#2B2319
1,34,45,35,27,#2D231B
1,35,33,27,20,#211B14
1,36,65,54,39,#413627
1,37,131,110,75,#836E4B
1,38,129,105,67,#816943
1,39,125,100,62,#7D643E
1,40,129,104,63,#81683F
1,41,103,84,49,#675431
1,42,61,47,27,#3D2F1B
1,43,103,83,50,#675332
1,44,141,116,72,#8D7448
1,45,166,141,90,#A68D5A
1,46,137,115,79,#89734F
1,47,55,42,29,#372A1D
2,0,143,128,91,#8F805B
2,1,89,71,47,#59472F
2,2,132,104,68,#846844
2,3,134,108,71,#866C47
2,4,66,47,27,#422F1B
2,5,66,48,28,#42301C
2,6,71,54,28,#47361C
2,7,79,62,34,#4F3E22
2,8,85,66,37,#554225
2,9,82,66,35,#524223
2,10,82,65,37,#524125
2,11,82,65,36,#524124
2,12,87,70,37,#574625
2,13,84,67,36,#544324
2,14,50,36,24,#322418
2,15,27,22,18,#1B1612
2,16,35,28,21,#231C15
2,17,46,35,21,#2E2315
2,18,51,38,21,#332615
2,19,123,98,66,#7B6242
2,20,140,114,81,#8C7251
2,21,141,114,83,#8D7253
2,22,120,93,64,#785D40
2,23,81,70,48,#514630
2,24,167,155,127,#A79B7F
2,25,184,172,143,#B8AC8F
2,26,174,163,135,#AEA387
2,27,174,162,133,#AEA285
2,28,139,129,108,#8B816C
2,29,46,38,29,#2E261D
2,30,41,34,24,#292218
2,31,49,41,29,#31291D
2,32,51,42,30,#332A1E
2,33,46,36,28,#2E241C
2,34,38,31,24,#261F18
2,35,52,42,30,#342A1E
2,36,127,106,73,#7F6A49
2,37,108,86,53,#6C5635
2,38,107,86,56,#6B5638
2,39,146,129,100,#928164
2,40,128,115,88,#807358
2,41,57,45,30,#392D1E
2,42,55,45,30,#372D1E
2,43,55,45,33,#372D21
2,44,114,94,61,#725E3D
2,45,153,128,81,#998051
2,46,159,133,87,#9F8557
2,47,137,115,76,#89734C
3,0,149,134,97,#958661
3,1,100,85,57,#645539
3,2,94,69,35,#5E4523
3,3,121,97,64,#796140
3,4,93,77,54,#5D4D36
3,5,65,48,26,#41301A
3,6,77,59,34,#4D3B22
3,7,79,60,36,#4F3C24
3,8,72,54,32,#483620
3,9,80,63,34,#503F22
3,10,86,69,39,#564527
3,11,84,68,38,#544426
3,12,93,76,41,#5D4C29
3,13,85,68,37,#554425
3,14,52,40,25,#342819
3,15,32,24,19,#201813
3,16,36,30,21,#241E15
3,17,47,38,24,#2F2618
3,18,101,81,53,#655135
3,19,170,138,101,#AA8A65
3,20,200,170,129,#C8AA81
3,21,194,162,122,#C2A27A
3,22,170,135,98,#AA8762
3,23,106,84,60,#6A543C
3,24,136,128,107,#88806B
3,25,219,212,183,#DBD4B7
3,26,212,206,176,#D4CEB0
3,27,213,206,178,#D5CEB2
3,28,221,214,185,#DDD6B9
3,29,105,97,79,#69614F
3,30,37,30,21,#251E15
3,31,55,48,33,#373021
3,32,54,45,32,#362D20
3,33,51,42,32,#332A20
3,34,42,33,24,#2A2118
3,35,116,100,73,#746449
3,36,176,160,129,#B0A081
3,37,165,152,124,#A5987C
3,38,185,174,145,#B9AE91
3,39,203,195,169,#CBC3A9
3,40,197,188,164,#C5BCA4
3,41,176,165,140,#B0A58C
3,42,170,158,131,#AA9E83
3,43,173,162,135,#ADA287
3,44,132,111,78,#846F4E
3,45,124,97,59,#7C613B
3,46,127,103,63,#7F673F
3,47,132,107,64,#846B40
4,0,151,136,98,#978862
4,1,112,97,67,#706143
4,2,81,64,42,#51402A
4,3,169,153,124,#A9997C
4,4,143,128,102,#8F8066
4,5,83,68,41,#534429
4,6,65,51,28,#41331C
4,7,84,67,40,#544328
4,8,82,66,37,#524225
4,9,88,70,41,#584629
4,10,88,71,42,#58472A
4,11,88,72,42,#58482A
4,12,87,70,40,#574628
4,13,81,64,35,#514023
4,14,57,46,27,#392E1B
4,15,35,29,22,#231D16
4,16,29,22,18,#1D1612
4,17,69,55,39,#453727
4,18,136,113,79,#88714F
4,19,149,123,92,#957B5C
4,20,154,128,94,#9A805E
4,21,147,123,93,#937B5D
4,22,146,120,87,#927857
4,23,104,78,54,#684E36
4,24,112,100,80,#706450
4,25,203,195,163,#CBC3A3
4,26,199,190,159,#C7BE9F
4,27,198,187,158,#C6BB9E
4,28,206,194,163,#CEC2A3
4,29,166,156,131,#A69C83
4,30,48,40,30,#30281E
4,31,55,47,33,#372F21
4,32,56,48,35,#383023
4,33,51,43,32,#332B20
4,34,57,46,32,#392E20
4,35,171,156,124,#AB9C7C
4,36,212,201,170,#D4C9AA
4,37,211,199,169,#D3C7A9
4,38,213,202,171,#D5CAAB
4,39,207,196,164,#CFC4A4
4,40,208,197,165,#D0C5A5
4,41,215,205,173,#D7CDAD
4,42,215,206,175,#D7CEAF
4,43,212,202,176,#D4CAB0
4,44,168,150,116,#A89674
4,45,140,115,72,#8C7348
4,46,145,120,77,#91784D
4,47,143,119,74,#8F774A
5,0,152,135,99,#988763
5,1,134,117,82,#867552
5,2,115,105,83,#736953
5,3,119,105,83,#776953
5,4,121,102,76,#79664C
5,5,124,109,83,#7C6D53
5,6,67,56,39,#433827
5,7,65,50,30,#41321E
5,8,69,57,36,#453924
5,9,51,41,27,#33291B
5,10,68,54,34,#443622
5,11,90,74,45,#5A4A2D
5,12,86,69,43,#56452B
5,13,81,64,37,#514025
5,14,61,49,29,#3D311D
5,15,35,29,21,#231D15
5,16,34,26,20,#221A14
5,17,110,90,62,#6E5A3E
5,18,94,78,54,#5E4E36
5,19,53,42,34,#352A22
5,20,117,94,72,#755E48
5,21,42,34,27,#2A221B
5,22,90,71,56,#5A4738
5,23,112,84,62,#70543E
5,24,116,90,71,#745A47
5,25,211,204,177,#D3CCB1
5,26,225,222,197,#E1DEC5
5,27,221,217,192,#DDD9C0
5,28,226,222,197,#E2DEC5
5,29,208,205,182,#D0CDB6
5,30,74,66,55,#4A4237
5,31,52,44,33,#342C21
5,32,60,51,39,#3C3327
5,33,49,42,33,#312A21
5,34,76,63,49,#4C3F31
5,35,203,194,167,#CBC2A7
5,36,223,222,197,#DFDEC5
5,37,219,215,191,#DBD7BF
5,38,220,217,193,#DCD9C1
5,39,222,218,195,#DEDAC3
5,40,222,220,196,#DEDCC4
5,41,220,214,193,#DCD6C1
5,42,205,194,165,#CDC2A5
5,43,208,198,167,#D0C6A7
5,44,170,152,116,#AA9874
5,45,137,112,70,#897046
5,46,144,118,74,#90764A
5,47,146,121,77,#92794D
6,0,152,137,101,#988965
6,1,143,129,92,#8F815C
6,2,81,68,47,#51442F
6,3,68,52,34,#443422
6,4,105,88,62,#69583E
6,5,127,110,84,#7F6E54
6,6,128,112,84,#807054
6,7,106,90,63,#6A5A3F
6,8,48,39,29,#30271D
6,9,23,18,13,#17120D
6,10,48,38,26,#30261A
6,11,88,71,46,#58472E
6,12,90,73,45,#5A492D
6,13,83,64,40,#534028
6,14,63,51,32,#3F3320
6,15,37,31,23,#251F17
6,16,38,29,22,#261D16
6,17,126,108,81,#7E6C51
6,18,161,145,118,#A19176
6,19,103,77,59,#674D3B
6,20,150,117,91,#96755B
6,21,103,77,60,#674D3C
6,22,123,93,70,#7B5D46
6,23,123,90,65,#7B5A41
6,24,144,116,93,#90745D
6,25,217,210,183,#D9D2B7
6,26,220,215,188,#DCD7BC
6,27,220,215,188,#DCD7BC
6,28,220,216,189,#DCD8BD
6,29,218,214,188,#DAD6BC
6,30,89,82,69,#595245
6,31,48,40,31,#30281F
6,32,56,48,39,#383027
6,33,43,36,31,#2B241F
6,34,90,78,61,#5A4E3D
6,35,215,208,179,#D7D0B3
6,36,221,218,192,#DDDAC0
6,37,220,216,190,#DCD8BE
6,38,221,217,190,#DDD9BE
6,39,221,216,190,#DDD8BE
6,40,221,217,190,#DDD9BE
6,41,220,214,189,#DCD6BD
6,42,209,200,172,#D1C8AC
6,43,212,205,178,#D4CDB2
6,44,207,200,171,#CFC8AB
6,45,187,175,138,#BBAF8A
6,46,191,177,139,#BFB18B
6,47,190,176,139,#BEB08B
7,0,150,135,99,#968763
7,1,135,120,86,#877856
7,2,64,53,38,#403526
7,3,49,38,26,#31261A
7,4,78,63,43,#4E3F2B
7,5,110,94,69,#6E5E45
7,6,126,108,82,#7E6C52
7,7,138,120,91,#8A785B
7,8,93,79,58,#5D4F3A
7,9,48,38,27,#30261B
7,10,53,43,28,#352B1C
7,11,91,74,48,#5B4A30
7,12,91,75,47,#5B4B2F
7,13,83,66,42,#53422A
7,14,59,47,33,#3B2F21
7,15,41,35,28,#29231C
7,16,36,29,20,#241D14
7,17,130,116,94,#82745E
7,18,218,209,183,#DAD1B7
7,19,142,114,88,#8E7258
7,20,135,102,77,#87664D
7,21,155,121,93,#9B795D
7,22,142,109,83,#8E6D53
7,23,114,87,68,#725744
7,24,206,195,173,#CEC3AD
7,25,225,221,193,#E1DDC1
7,26,221,215,188,#DDD7BC
7,27,222,216,189,#DED8BD
7,28,222,216,189,#DED8BD
7,29,222,216,191,#DED8BF
7,30,91,83,71,#5B5347
7,31,48,42,32,#302A20
7,32,54,46,39,#362E27
7,33,42,36,31,#2A241F
7,34,94,82,65,#5E5241
7,35,219,212,183,#DBD4B7
7,36,224,218,192,#E0DAC0
7,37,221,216,190,#DDD8BE
7,38,222,217,190,#DED9BE
7,39,223,218,191,#DFDABF
7,40,223,218,191,#DFDABF
7,41,223,219,192,#DFDBC0
7,42,226,223,196,#E2DFC4
7,43,225,221,195,#E1DDC3
7,44,226,221,195,#E2DDC3
7,45,226,222,198,#E2DEC6
7,46,227,222,197,#E3DEC5
7,47,227,221,197,#E3DDC5
8,0,149,133,97,#958561
8,1,136,121,86,#887956
8,2,59,51,35,#3B3323
8,3,54,45,30,#362D1E
8,4,64,52,34,#403422
8,5,73,59,42,#493B2A
8,6,102,85,63,#66553F
8,7,127,111,83,#7F6F53
8,8,139,121,93,#8B795D
8,9,113,97,74,#71614A
8,10,77,63,46,#4D3F2E
8,11,96,79,54,#604F36
8,12,90,74,47,#5A4A2F
8,13,87,72,47,#57482F
8,14,51,41,30,#33291E
8,15,33,29,23,#211D17
8,16,59,47,37,#3B2F25
8,17,126,111,88,#7E6F58
8,18,226,219,191,#E2DBBF
8,19,169,151,126,#A9977E
8,20,135,100,75,#87644B
8,21,148,116,87,#947457
8,22,122,92,69,#7A5C45
8,23,110,83,66,#6E5342
8,24,198,189,167,#C6BDA7
8,25,230,225,196,#E6E1C4
8,26,221,217,187,#DDD9BB
8,27,221,216,187,#DDD8BB
8,28,221,216,187,#DDD8BB
8,29,222,217,190,#DED9BE
8,30,90,83,70,#5A5346
8,31,48,41,33,#302921
8,32,55,48,42,#37302A
8,33,45,39,34,#2D2722
8,34,94,81,65,#5E5141
8,35,219,211,181,#DBD3B5
8,36,224,219,191,#E0DBBF
8,37,223,217,191,#DFD9BF
8,38,224,218,192,#E0DAC0
8,39,224,218,191,#E0DABF
8,40,224,219,190,#E0DBBE
8,41,224,218,192,#E0DAC0
8,42,224,218,189,#E0DABD
8,43,224,218,190,#E0DABE
8,44,224,217,191,#E0D9BF
8,45,223,217,190,#DFD9BE
8,46,223,217,190,#DFD9BE
8,47,223,217,191,#DFD9BF
9,0,146,132,95,#92845F
9,1,122,109,77,#7A6D4D
9,2,54,46,29,#362E1D
9,3,61,51,32,#3D3320
9,4,62,51,34,#3E3322
9,5,42,32,24,#2A2018
9,6,67,53,36,#433524
9,7,100,85,62,#64553E
9,8,121,104,78,#79684E
9,9,135,118,90,#87765A
9,10,138,118,92,#8A765C
9,11,131,113,86,#837156
9,12,117,100,71,#756447
9,13,100,84,58,#64543A
9,14,71,59,43,#473B2B
9,15,80,69,53,#504535
9,16,135,118,92,#87765C
9,17,122,104,81,#7A6851
9,18,142,129,108,#8E816C
9,19,150,134,113,#968671
9,20,133,107,84,#856B54
9,21,124,93,69,#7C5D45
9,22,121,91,70,#795B46
9,23,165,147,127,#A5937F
9,24,145,136,115,#918873
9,25,177,165,139,#B1A58B
9,26,225,218,189,#E1DABD
9,27,227,222,192,#E3DEC0
9,28,225,220,190,#E1DCBE
9,29,222,218,189,#DEDABD
9,30,93,86,72,#5D5648
9,31,49,42,33,#312A21
9,32,55,48,42,#37302A
9,33,46,40,35,#2E2823
9,34,97,86,69,#615645
9,35,219,212,182,#DBD4B6
9,36,223,219,190,#DFDBBE
9,37,223,218,189,#DFDABD
9,38,224,219,190,#E0DBBE
9,39,224,218,189,#E0DABD
9,40,224,219,190,#E0DBBE
9,41,225,218,190,#E1DABE
9,42,224,219,190,#E0DBBE
9,43,224,219,190,#E0DBBE
9,44,224,219,191,#E0DBBF
9,45,224,219,191,#E0DBBF
9,46,224,219,190,#E0DBBE
9,47,224,219,191,#E0DBBF
10,0,137,122,87,#897A57
10,1,121,107,78,#796B4E
10,2,55,46,31,#372E1F
10,3,61,51,33,#3D3321
10,4,64,53,35,#403523
10,5,40,32,26,#28201A
10,6,55,45,30,#372D1E
10,7,63,50,33,#3F3221
10,8,89,75,55,#594B37
10,9,113,97,71,#716147
10,10,129,111,83,#816F53
10,11,137,119,93,#89775D
10,12,141,123,95,#8D7B5F
10,13,136,118,90,#88765A
10,14,136,119,90,#88775A
10,15,149,130,101,#958265
10,16,142,125,97,#8E7D61
10,17,136,120,93,#88785D
10,18,120,102,76,#78664C
10,19,105,89,71,#695947
10,20,165,157,138,#A59D8A
10,21,125,100,85,#7D6455
10,22,182,166,143,#B6A68F
10,23,209,204,178,#D1CCB2
10,24,176,168,143,#B0A88F
10,25,127,109,83,#7F6D53
10,26,148,132,105,#948469
10,27,180,168,141,#B4A88D
10,28,207,199,170,#CFC7AA
10,29,228,221,192,#E4DDC0
10,30,93,84,70,#5D5446
10,31,44,37,28,#2C251C
10,32,54,48,40,#363028
10,33,50,42,36,#322A24
10,34,97,86,68,#615644
10,35,219,211,181,#DBD3B5
10,36,224,218,190,#E0DABE
10,37,225,217,188,#E1D9BC
10,38,225,218,190,#E1DABE
10,39,225,218,190,#E1DABE
10,40,225,218,190,#E1DABE
10,41,225,218,190,#E1DABE
10,42,225,218,189,#E1DABD
10,43,225,218,189,#E1DABD
10,44,225,218,189,#E1DABD
10,45,225,220,191,#E1DCBF
10,46,224,220,190,#E0DCBE
10,47,224,219,190,#E0DBBE
11,0,132,116,83,#847453
11,1,126,112,81,#7E7051
11,2,60,50,35,#3C3223
11,3,60,51,34,#3C3322
11,4,62,51,35,#3E3323
11,5,41,33,26,#29211A
11,6,55,46,30,#372E1E
11,7,74,62,42,#4A3E2A
11,8,58,48,35,#3A3023
11,9,61,49,36,#3D3124
11,10,90,76,57,#5A4C39
11,11,100,83,64,#645340
11,12,109,93,70,#6D5D46
11,13,127,111,85,#7F6F55
11,14,145,128,99,#918063
11,15,146,130,102,#928266
11,16,142,126,97,#8E7E61
11,17,148,132,99,#948463
11,18,130,114,89,#827259
11,19,158,150,131,#9E9683
11,20,169,160,137,#A9A089
11,21,85,69,55,#554537
11,22,182,175,153,#B6AF99
11,23,218,211,184,#DAD3B8
11,24,192,184,157,#C0B89D
11,25,142,126,98,#8E7E62
11,26,135,118,91,#87765B
11,27,131,114,87,#837257
11,28,137,119,92,#89775C
11,29,166,149,121,#A69579
11,30,94,83,67,#5E5343
11,31,44,37,29,#2C251D
11,32,53,47,38,#352F26
11,33,47,40,32,#2F2820
11,34,96,84,69,#605445
11,35,222,214,184,#DED6B8
11,36,224,218,188,#E0DABC
11,37,224,217,188,#E0D9BC
11,38,226,218,190,#E2DABE
11,39,227,219,191,#E3DBBF
11,40,226,219,190,#E2DBBE
11,41,225,219,190,#E1DBBE
11,42,226,219,189,#E2DBBD
11,43,226,219,189,#E2DBBD
11,44,225,219,189,#E1DBBD
11,45,225,219,190,#E1DBBE
11,46,225,219,190,#E1DBBE
11,47,225,219,190,#E1DBBE
12,0,130,113,80,#827150
12,1,126,111,80,#7E6F50
12,2,57,48,33,#393021
12,3,62,55,37,#3E3725
12,4,59,49,34,#3B3122
12,5,40,31,25,#281F19
12,6,57,50,34,#393222
12,7,76,66,46,#4C422E
12,8,48,41,29,#30291D
12,9,39,32,23,#272017
12,10,57,47,33,#392F21
12,11,75,62,43,#4B3E2B
12,12,66,54,40,#423628
12,13,101,85,64,#655540
12,14,150,133,102,#968566
12,15,148,131,102,#948366
12,16,152,136,105,#988869
12,17,139,122,94,#8B7A5E
12,18,134,123,105,#867B69
12,19,203,199,175,#CBC7AF
12,20,133,118,98,#857662
12,21,103,83,67,#675343
12,22,193,186,160,#C1BAA0
12,23,208,201,176,#D0C9B0
12,24,195,186,160,#C3BAA0
12,25,148,132,100,#948464
12,26,144,127,98,#907F62
12,27,140,125,96,#8C7D60
12,28,136,120,91,#88785B
12,29,130,112,84,#827054
12,30,91,78,59,#5B4E3B
12,31,45,38,30,#2D261E
12,32,53,46,37,#352E25
12,33,43,36,29,#2B241D
