frame_id,row,col,value
ground_01,0,0,#907C57
ground_01,0,1,#5C472B
ground_01,0,2,#4B391C
ground_01,0,3,#554324
ground_01,0,4,#43351D
ground_01,0,5,#1A130F
ground_01,0,6,#52422D
ground_01,0,7,#776343
ground_01,0,8,#77694D
ground_01,0,9,#483E2E
ground_01,0,10,#2A2116
ground_01,0,11,#2C2219
ground_01,0,12,#67553A
ground_01,0,13,#786442
ground_01,0,14,#6B5736
ground_01,0,15,#6C593A
ground_01,1,0,#7D6C4D
ground_01,1,1,#6D5B42
ground_01,1,2,#473822
ground_01,1,3,#4E3F24
ground_01,1,4,#493A22
ground_01,1,5,#2F261B
ground_01,1,6,#836B4E
ground_01,1,7,#796147
ground_01,1,8,#B7AC93
ground_01,1,9,#C0BAA0
ground_01,1,10,#322A20
ground_01,1,11,#5B5140
ground_01,1,12,#CAC0A2
ground_01,1,13,#C9C2A9
ground_01,1,14,#AEA185
ground_01,1,15,#90774C
ground_01,2,0,#716549
ground_01,2,1,#544633
ground_01,2,2,#6C5D46
ground_01,2,3,#534530
ground_01,2,4,#463722
ground_01,2,5,#504739
ground_01,2,6,#947D64
ground_01,2,7,#775843
ground_01,2,8,#CCC3A9
ground_01,2,9,#E7E3C9
ground_01,2,10,#3C352C
ground_01,2,11,#766E5D
ground_01,2,12,#ECE8CB
ground_01,2,13,#E1DCC1
ground_01,2,14,#DFD9BC
ground_01,2,15,#D2C9AB
ground_01,3,0,#695C41
ground_01,3,1,#32281B
ground_01,3,2,#4F422F
ground_01,3,3,#726149
ground_01,3,4,#73634B
ground_01,3,5,#827359
ground_01,3,6,#8E7D67
ground_01,3,7,#A4947E
ground_01,3,8,#AA9F84
ground_01,3,9,#BCB194
ground_01,3,10,#3C342B
ground_01,3,11,#776E5E
ground_01,3,12,#EAE3C5
ground_01,3,13,#DED8BC
ground_01,3,14,#E1DCBF
ground_01,3,15,#E3DFC4
ground_01,4,0,#675A40
ground_01,4,1,#322A1E
ground_01,4,2,#322A1E
ground_01,4,3,#382E21
ground_01,4,4,#7B6B50
ground_01,4,5,#9D8E72
ground_01,4,6,#968A76
ground_01,4,7,#A69A86
ground_01,4,8,#AA9D7F
ground_01,4,9,#7B694D
ground_01,4,10,#3A2F24
ground_01,4,11,#736954
ground_01,4,12,#E3D5B0
ground_01,4,13,#D7CAA7
ground_01,4,14,#D5C8A5
ground_01,4,15,#D5C8A6
ground_01,5,0,#62563D
ground_01,5,1,#352D20
ground_01,5,2,#393124
ground_01,5,3,#4B412F
ground_01,5,4,#76674C
ground_01,5,5,#7F7867
ground_01,5,6,#998A75
ground_01,5,7,#958571
ground_01,5,8,#A79B7F
ground_01,5,9,#6A5941
ground_01,5,10,#423727
ground_01,5,11,#7D7259
ground_01,5,12,#BCAC86
ground_01,5,13,#AFA07D
ground_01,5,14,#DCCCA2
ground_01,5,15,#D5C59C
ground_01,6,0,#65593F
ground_01,6,1,#413928
ground_01,6,2,#473F2C
ground_01,6,3,#5D523C
ground_01,6,4,#483B2D
ground_01,6,5,#5D584E
ground_01,6,6,#91816C
ground_01,6,7,#958571
ground_01,6,8,#9B9076
ground_01,6,9,#4F3F2D
ground_01,6,10,#4C3F2E
ground_01,6,11,#86785E
ground_01,6,12,#958769
ground_01,6,13,#9B8C6D
ground_01,6,14,#EFDFB1
ground_01,6,15,#E0D0A5
ground_01,7,0,#635840
ground_01,7,1,#3D3728
ground_01,7,2,#494332
ground_01,7,3,#554C3A
ground_01,7,4,#63543F
ground_01,7,5,#5F574A
ground_01,7,6,#877863
ground_01,7,7,#958672
ground_01,7,8,#A69D85
ground_01,7,9,#5C4D3A
ground_01,7,10,#635440
ground_01,7,11,#776C56
ground_01,7,12,#8C8167
ground_01,7,13,#736751
ground_01,7,14,#E3D4AB
ground_01,7,15,#E9DAAF
